PCA Components,Model,Top-5 Accuracy,Accuracy,MCC,F1 Score,Precision,Recall
16,RandomForest,0.8646312304579732,0.5556372999816075,0.5530149017818278,0.5474792469522833,0.5552894194361597,0.5556372999816075
16,ExtraTrees,0.8607688063270186,0.5429464778370425,0.5402687744904959,0.5359848113369238,0.5465957575455812,0.5429464778370425
16,LogisticRegression,0.8151554165900312,0.43737355159095087,0.43413780546750047,0.41986045105750636,0.4306054038900786,0.43737355159095087
16,SVM,0.8782416773956225,0.5037704616516461,0.5010508386266108,0.4854162081145356,0.5054804361372105,0.5037704616516461
16,XGBoost,0.8304211881552327,0.505609711237815,0.5026465498090419,0.5036844796709027,0.511729260507109,0.505609711237815
16,MLPClassifier,0.9117160198638955,0.5973882655876402,0.595070516045603,0.592534219135475,0.6095721080008023,0.5973882655876402
16,DecisionTree,0.43571822696339896,0.41806143093617804,0.41456529652385704,0.41942869572628716,0.4273288797812125,0.41806143093617804
16,KNN,0.7397461835571087,0.44804119919073015,0.44485199109986506,0.4402311524107893,0.4567568259817619,0.44804119919073015
16,NaiveBayes,0.681993746551407,0.3294096008828398,0.32604273312675347,0.29200645153505206,0.31954708663013276,0.3294096008828398
17,RandomForest,0.8677579547544602,0.5525105756851205,0.5498622069318141,0.5455156248448142,0.5543979064274221,0.5525105756851205
17,ExtraTrees,0.8512047084789406,0.5464410520507633,0.5437916893478288,0.538615480499178,0.5494567914001752,0.5464410520507633
17,LogisticRegression,0.8232481147691741,0.43424682729446384,0.43100671988508366,0.4152523770416626,0.42603571796813716,0.43424682729446384
17,SVM,0.8795291521059407,0.5080007356998345,0.5053112616835296,0.490386403357427,0.5124026189117733,0.5080007356998345
17,XGBoost,0.8350193121206547,0.5067132609895163,0.5037548788025983,0.5041655835022363,0.5119277183687283,0.5067132609895163
17,MLPClassifier,0.9128195696155968,0.6018024645944454,0.599501543021075,0.594823955638557,0.606443499666843,0.6018024645944454
17,DecisionTree,0.4347986021703145,0.41640610630862607,0.4128917450771354,0.418052156847382,0.42547990237628996,0.41640610630862607
17,KNN,0.7390104837226411,0.44491447489424313,0.4417034809743939,0.4376410586101621,0.453159543969984,0.44491447489424313
17,NaiveBayes,0.682177671510024,0.3244436270001839,0.32103544465813594,0.2870186348088319,0.3059019446536873,0.3244436270001839
18,RandomForest,0.8694132793820122,0.5572926246091595,0.554692453508743,0.5501548307116124,0.5599737835479389,0.5572926246091595
18,ExtraTrees,0.8640794555821225,0.5480963766783152,0.545437979530684,0.5419104197061632,0.5513932836853247,0.5480963766783152
18,LogisticRegression,0.8291337134449145,0.4502482986941328,0.44708813604090686,0.43217509486387257,0.43896269109604535,0.4502482986941328
18,SVM,0.8835755011955122,0.5159095089203605,0.5132558849384193,0.4989539842481872,0.5205797705475802,0.5159095089203605
18,XGBoost,0.8466065845135184,0.5140702593341917,0.5111795189544738,0.5120434835963159,0.5210736708321666,0.5140702593341917
